property,group,Fe,Ni,Mn,Al,Cr,Cu,Co,Mo,Ti,Nb,Ta,W,V,Zr,Hf,reference_id,reference_citation
Structure,,BCC,FCC,αMn,FCC,BCC,FCC,HCP,BCC,HCP,BCC,BCC,BCC,BCC,HCP,HCP,,
Covalent Radius/( Å ) [1],S2,1.32,1.24,1.39,1.21,1.39,1.32,1.26,1.54,1.6,1.64,1.7,1.62,1.53,1.75,1.75,,
Atomic Radius/( Å ) [1],S3,1.56,1.49,1.61,1.18,1.66,1.45,1.52,1.9,1.76,1.98,2,1.93,1.71,2.06,2.08,,
Atomic volume/ cm3×10-6 [1],S4,8.00578543679166,8.1029419734921,10.3059945243,12.3003552842352,8.16161147919088,8.70243173183005,8.20088139506846,10.6065994751807,13.0897309417942,12.2232104243142,12.2488894294243,10.7002554441555,9.54676582390284,17.644371040004,17.1572843861333,,
"Lattice constant (BCC, Å) [25]",S5,2.822,2.799,2.792,3.244,2.847,2.866,2.809,3.178,3.241,3.322,3.32,3.19,2.992,3.574,3.538,,
Melting temperature (K) [1],T1,1811,1728,1519,933.47,2180,1357.77,1768,2896,1941,2750,3290,3695,2183,2128,2506,,
Boiling Temperature (K) [1],T2,3134,3186,2334,2792,2944,2835,3200,4912,3560,5017,5731,5828,3680,4682,4876,,
Heat of Vaporization/ev[1],T3,3.59641395035498,3.91770741566046,2.28014717313572,3.03674146240348,3.5134995076955,3.10929159973053,3.59641395035498,6.21858319946106,4.40482976628491,7.15137067938021,7.62812872467223,8.29144426594807,4.6950303155931,6.01129709281235,6.52951235943411,,
Heat Fusion/ev[1],T4,0.143027413587604,0.178266051717884,0.136808830388143,0.110898067057055,0.212468259314919,0.1357723998549,0.167901746385448,0.373114991967663,0.193812509716536,0.277763382909261,0.373114991967663,0.362750686635228,0.23630616157952,0.217650411981137,0.264289785977095,,
Enthalpy of atomisation/kcal/mol [26],T5,4.306043,4.45788,2.935783,3.4171,4.11959,3.498977,4.422227,6.829846,4.908829,7.597424,8.104755,8.820304,5.34247,6.322515,6.409264,,
Cohesive energy /kcal.mol^-1 [27],T6,98.7,102.4,67.4,78.1,94.5,80.4,101.3,157.2,111.8,174.5,186.9,205.2,122.4,144.2,148.4,,
Vacancy migration energy/ ev [28-30],T7,0.88,1.21,0.43,0.65,0.68,0.9,1.02,1.31,0.49,0.99,1.32,2.07,0.49,0.57,0.89,,
Vacancy formation energy/ ev [31-32],T8,1.76,1.41,0.936000449280216,0.76,1.8,1.11,1.25,2.67,1.56,2.4,2.88,3.22,2.15,1.77,1.87,,
